time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures,dirty
0,0,0,0,0,0,0,0,0,0,0
80040,25000,97.66,1.00,2001,0,2001,0,0,0,1
159920,25000,97.66,1.00,3998,0,3998,0,0,0,1
239640,25000,97.66,1.00,5991,0,5991,0,0,0,1
319080,25000,97.66,1.00,7977,0,7977,0,0,0,1
397200,25000,97.66,1.00,9930,0,9930,0,0,0,1
474160,25000,97.66,1.00,11854,0,11854,0,0,0,1
548520,25000,97.66,1.00,13713,0,13713,0,0,0,1
622280,25000,97.66,1.00,15557,0,15557,0,0,0,1
691840,25000,97.66,1.00,17296,0,17296,0,0,0,1
758400,25000,97.66,1.00,18960,0,18960,0,0,0,1
