time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures,dirty
0,0,0,0,0,0,0,0,0,0,0
80000,25000,97.66,1.00,2000,0,2000,0,0,0,1
159880,25000,97.66,1.00,3997,0,3997,0,0,0,1
239560,25000,97.66,1.00,5989,0,5989,0,0,0,1
318840,25000,97.66,1.00,7971,0,7971,0,0,0,1
396880,25000,97.66,1.00,9922,0,9922,0,0,0,1
473920,25000,97.66,1.00,11848,0,11848,0,0,0,1
548960,25000,97.66,1.00,13724,0,13724,0,0,0,1
620200,25000,97.66,1.00,15505,0,15505,0,0,0,1
689840,25000,97.66,1.00,17246,0,17246,0,0,0,1
755000,25000,97.66,1.00,18875,0,18875,0,0,0,1
