time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures,dirty
0,0,0,0,0,0,0,0,0,0,0
80040,25000,97.66,1.00,2001,0,2001,0,0,0,1
160000,25000,97.66,1.00,4000,0,4000,0,0,0,1
239520,25000,97.66,1.00,5988,0,5988,0,0,0,1
318960,25000,97.66,1.00,7974,0,7974,0,0,0,1
398000,25000,97.66,1.00,9950,0,9950,0,0,0,1
474520,25000,97.66,1.00,11863,0,11863,0,0,0,1
549840,25000,97.66,1.00,13746,0,13746,0,0,0,1
623160,25000,97.66,1.00,15579,0,15579,0,0,0,1
692560,25000,97.66,1.00,17314,0,17314,0,0,0,1
759360,25000,97.66,1.00,18984,0,18984,0,0,0,1
