time,iops,bandwidth,amplification,host_write,host_read,disk_write,disk_read,block_erased,failures,dirty
0,0,0,0,0,0,0,0,0,0,0
80040,25000,97.66,1.00,2001,0,2001,0,0,0,1
159920,25000,97.66,1.00,3998,0,3998,0,0,0,1
239760,25000,97.66,1.00,5994,0,5994,0,0,0,1
319160,25000,97.66,1.00,7979,0,7979,0,0,0,1
397760,25000,97.66,1.00,9944,0,9944,0,0,0,1
474920,25000,97.66,1.00,11873,0,11873,0,0,0,1
550400,25000,97.66,1.00,13760,0,13760,0,0,0,1
623560,25000,97.66,1.00,15589,0,15589,0,0,0,1
694160,25000,97.66,1.00,17354,0,17354,0,0,0,1
760760,25000,97.66,1.00,19019,0,19019,0,0,0,1
